Телефон_new,ЧислоЗаказов,ОбщаяСуммаПокупок,ОбщееКоличествоТоваров,СреднийЧек,СрКолТоваров_вЧеке,G2_ДЕТСКОЕ ПИТАНИЕ,G2_ИГРУШКИ,"G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ",G2_КОСМЕТИКА/ГИГИЕНА,G2_КРУПНОГАБАРИТНЫЙ ТОВАР,G2_ОБУВЬ,G2_ПОДГУЗНИКИ,G2_СОПУТСТВУЮЩИЕ ТОВАРЫ,"G2_ТЕКСТИЛЬ, ТРИКОТАЖ",G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ,K9_Кластер,K10_Кластер,K11_Кластер,G8_Кластер,G9_Кластер,G10_Кластер,G11_Кластер
55574949-57545748485271,1,1045.0,2,1045.0,2.0,0,2,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574949-57545750505171,1,1989.0,2,1989.0,2.0,0,0,0,0,1,0,0,0,1,0,2,8,1,3,3,9,3
55574949-57545751535172,1,973.0,1,973.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,1,7,7,6,7
55574949-57554849504876,2,7916.0,5,3958.0,2.5,0,4,0,0,0,1,0,0,0,0,3,3,0,2,2,9,2
55574949-57554849535572,1,3399.0,1,3399.0,1.0,0,0,0,0,0,0,0,0,1,0,2,8,1,6,6,1,6
55574949-57554850555370,1,840.0,3,840.0,3.0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,1,6,1
55574949-57554851564874,1,2850.0,1,2850.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,4,7,7,6,7
55574949-57554854565472,1,9642.0,3,9642.0,3.0,0,0,0,0,1,0,2,0,0,0,7,2,4,3,3,9,3
55574949-57554857525278,1,1296.0,3,1296.0,3.0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,1,6,1
55574949-57554950514875,2,5347.0,3,2673.5,1.5,0,2,0,0,0,0,0,0,1,0,1,0,8,5,2,0,2
55574949-57555048575178,1,1486.0,4,1486.0,4.0,0,4,0,0,0,0,0,0,0,0,3,3,0,1,1,6,1
55574949-57555049555477,1,631.0,2,631.0,2.0,0,2,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574949-57555050575174,1,998.0,2,998.0,2.0,0,2,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574949-57555055505279,1,1269.0,2,1269.0,2.0,0,0,0,0,0,0,0,0,2,0,2,1,2,6,6,1,6
55574949-57555151535374,1,180.0,2,180.0,2.0,0,0,0,0,0,0,0,0,0,1,2,8,1,6,6,8,3
55574949-57555252535575,1,499.0,1,499.0,1.0,0,0,0,0,0,0,0,0,1,0,2,8,1,6,6,1,6
55574949-57555255565072,1,485.0,1,485.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574949-57555357545571,1,2398.0,2,2398.0,2.0,0,0,0,0,0,0,1,0,0,0,5,8,1,1,3,8,5
55574949-57555448485477,1,21500.0,1,21500.0,1.0,0,0,0,0,1,0,0,0,0,0,7,2,7,7,7,6,7
55574949-57555552535779,1,2699.0,1,2699.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574949-57555556564877,2,6350.0,9,3175.0,4.5,0,0,0,0,0,0,2,0,0,0,5,6,3,5,5,0,10
55574949-57555557555573,1,6529.0,1,6529.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,4,1,1,6,1
55574949-57555655515071,1,3085.0,2,3085.0,2.0,0,0,0,0,0,0,2,0,0,0,5,6,3,1,3,8,5
55574949-57555751485278,1,2697.0,8,2697.0,8.0,0,4,0,2,0,0,1,0,0,1,3,3,0,5,5,5,9
55574949-57555751565672,1,799.0,1,799.0,1.0,0,0,0,0,0,0,0,0,1,0,2,8,1,6,6,1,6
55574949-57555754514875,1,780.0,5,780.0,5.0,0,5,0,0,0,0,0,0,0,0,3,3,0,1,1,6,1
55574949-57564848485372,1,4158.0,2,4158.0,2.0,0,0,0,0,0,0,0,0,2,0,2,1,2,6,6,1,6
55574949-57564849525077,1,5585.0,2,5585.0,2.0,0,0,0,0,2,0,0,0,0,0,2,8,4,3,3,6,3
55574949-57564854515178,1,2250.0,2,2250.0,2.0,0,0,0,0,0,0,2,0,0,0,5,6,3,1,3,8,5
55574949-57564854535375,1,1457.0,1,1457.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574949-57564856504870,1,870.0,3,870.0,3.0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,1,6,1
55574949-57564950505778,1,7250.0,2,7250.0,2.0,0,1,0,0,0,0,0,0,0,1,1,0,4,3,3,9,3
55574949-57564950515677,1,4852.0,4,4852.0,4.0,0,0,0,0,0,0,2,0,0,0,5,6,3,1,3,8,5
55574949-57564954514870,1,11838.0,7,11838.0,7.0,0,0,0,0,1,0,0,0,6,0,0,4,10,3,3,9,3
55574949-57565049575279,1,1993.0,1,1993.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574949-57565053575776,2,2246.0,9,1123.0,4.5,0,4,0,0,0,0,0,0,4,1,0,1,0,5,5,0,10
55574949-57565151515771,1,569.0,1,569.0,1.0,0,0,0,0,0,0,0,0,0,1,2,8,1,6,6,8,6
55574949-57565153504978,1,238.0,1,238.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574949-57565153574972,1,4467.0,6,4467.0,6.0,0,2,0,0,0,0,0,0,4,0,0,1,2,3,3,4,3
55574949-57565155485573,1,2045.0,2,2045.0,2.0,0,1,0,0,0,0,1,0,0,0,1,0,8,1,3,4,3
55574949-57565156485270,1,2015.0,1,2015.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574949-57565254515378,2,9296.0,8,4648.0,4.0,0,0,0,0,0,0,2,0,0,0,5,6,3,5,5,0,10
55574949-57565255555575,1,1372.0,1,1372.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574949-57565350485771,1,1139.0,1,1139.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,1,7,7,6,7
55574949-57565352514970,1,425.0,1,425.0,1.0,0,0,0,0,0,0,0,0,0,1,2,8,1,6,6,8,6
55574949-57565354545670,1,1929.0,3,1929.0,3.0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,1,6,1
55574949-57565449494970,1,3535.0,1,3535.0,1.0,0,0,0,0,0,0,0,0,1,0,2,8,1,6,6,1,6
55574949-57565456545175,2,1604.0,3,802.0,1.5,0,0,0,3,0,0,0,0,0,0,4,5,5,5,5,0,10
55574949-57565457495676,1,1999.0,1,1999.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574949-57565552564972,1,1434.0,6,1434.0,6.0,0,3,3,0,0,0,0,0,0,0,8,9,0,1,1,4,1
55574949-57565554545772,1,989.0,1,989.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574949-57565652514874,1,1600.0,1,1600.0,1.0,0,0,0,0,0,0,1,0,0,0,5,8,1,1,3,8,5
55574949-57565652515777,2,3054.0,12,1527.0,6.0,0,0,11,0,0,0,0,0,0,0,8,9,1,4,8,3,4
55574949-57565656494975,1,1666.0,8,1666.0,8.0,0,7,1,0,0,0,0,0,0,0,3,3,6,1,1,4,1
55574949-57565656495378,1,6096.0,1,6096.0,1.0,0,0,0,0,0,0,0,0,0,1,2,8,4,6,6,8,6
55574949-57565748495376,1,1191.0,3,1191.0,3.0,0,2,1,0,0,0,0,0,0,0,1,0,8,1,1,4,1
55574949-57565749494970,2,6637.0,6,3318.5,3.0,0,0,0,0,0,0,5,0,0,0,5,6,3,5,5,0,10
55574949-57565751555479,1,2130.0,1,2130.0,1.0,0,0,0,0,0,0,1,0,0,0,5,8,1,1,3,8,5
55574949-57574849515274,1,1810.0,1,1810.0,1.0,0,0,1,0,0,0,0,0,0,0,2,8,1,1,1,4,1
55574949-57574850505070,1,564.0,2,564.0,2.0,0,1,1,0,0,0,0,0,0,0,1,0,8,1,1,4,1
55574949-57574850515675,2,8304.0,8,4152.0,4.0,0,0,0,0,0,0,3,0,0,0,5,6,3,5,5,0,10
55574949-57574853535371,1,6270.0,1,6270.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,4,7,7,6,7
55574949-57574950535471,1,1399.0,1,1399.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574949-57574955495575,1,2960.0,4,2960.0,4.0,0,0,0,0,1,0,0,0,0,0,2,8,4,3,3,5,3
55574949-57574956555078,1,2298.0,2,2298.0,2.0,0,0,0,0,0,0,0,0,2,0,2,1,2,6,6,1,6
55574949-57575048534976,1,1450.0,1,1450.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,1,7,7,6,7
55574949-57575056575677,1,1329.0,1,1329.0,1.0,0,0,0,0,0,1,0,0,0,0,2,8,1,6,6,1,6
55574949-57575057505474,1,3229.0,2,3229.0,2.0,0,2,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574949-57575151534977,1,816.0,2,816.0,2.0,0,1,1,0,0,0,0,0,0,0,1,0,8,1,1,4,1
55574949-57575152494872,1,2240.0,1,2240.0,1.0,0,0,1,0,0,0,0,0,0,0,2,8,1,1,1,4,1
55574949-57575254504970,1,1190.0,1,1190.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574949-57575348575170,1,1682.0,5,1682.0,5.0,0,5,0,0,0,0,0,0,0,0,3,3,0,1,1,6,1
55574949-57575351504878,1,984.0,1,984.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574949-57575355545071,1,1290.0,1,1290.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574949-57575451515771,1,539.0,1,539.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574949-57575452525575,1,1029.0,1,1029.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574949-57575453555377,1,2538.0,2,2538.0,2.0,0,0,0,0,0,0,1,0,0,0,5,8,1,1,3,8,5
55574949-57575453565778,1,3013.0,1,3013.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574949-57575454545478,1,2380.0,2,2380.0,2.0,0,0,0,0,0,0,1,0,0,0,5,8,1,1,3,8,5
55574949-57575455575577,1,1064.0,4,1064.0,4.0,0,4,0,0,0,0,0,0,0,0,3,3,0,1,1,6,1
55574949-57575551525175,1,216.0,1,216.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574949-57575654515578,1,2599.0,1,2599.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574949-57575751495279,1,2180.0,2,2180.0,2.0,0,0,0,0,0,0,1,0,0,0,5,8,1,1,3,8,5
55574949-57575752555373,1,5660.0,1,5660.0,1.0,0,0,0,0,0,0,0,0,0,1,2,8,4,6,6,8,6
55574949-57575753535374,1,846.0,1,846.0,1.0,0,0,0,0,0,0,1,0,0,0,5,8,1,1,3,8,5
55574949-57575755504873,1,537.0,1,537.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574949-57575757565776,1,4163.0,3,4163.0,3.0,0,0,0,0,1,0,0,0,0,2,2,8,4,3,3,9,3
55574950-48485353495774,1,1499.0,1,1499.0,1.0,0,0,0,0,0,0,0,0,1,0,2,8,1,6,6,1,6
55574950-48485553485671,1,580.0,1,580.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,1,7,7,6,7
55574950-48485556505372,1,1948.0,3,1948.0,3.0,0,1,0,0,0,0,1,0,1,0,1,0,8,3,3,4,3
55574950-48494948525174,3,4249.0,11,1416.33,3.67,3,0,0,1,0,0,1,0,0,0,6,7,9,0,0,7,0
55574950-48494948554873,1,329.0,1,329.0,1.0,0,0,1,0,0,0,0,0,0,0,2,8,1,1,1,4,1
55574950-48494952485274,1,4640.0,1,4640.0,1.0,0,0,0,0,0,0,0,0,1,0,2,8,1,6,6,1,6
55574950-48494953485474,2,357.0,9,178.5,4.5,0,5,0,0,0,0,0,0,0,0,3,3,0,5,5,0,10
55574950-48495154554873,4,2879.0,10,719.75,2.5,0,1,0,3,0,0,0,0,6,0,0,4,10,5,5,2,4
55574950-48495249525577,1,1168.0,6,1168.0,6.0,0,0,0,3,1,0,0,0,0,2,4,5,5,5,5,5,9
55574950-48495251564874,1,400.0,1,400.0,1.0,0,0,0,0,0,1,0,0,0,0,2,8,1,6,6,1,6
55574950-48495357554876,1,2439.0,1,2439.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574950-48495455494970,1,3369.0,1,3369.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574950-48495654575071,1,2166.0,1,2166.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,4,7,7,6,7
55574950-48504850494870,2,2458.0,2,1229.0,1.0,0,1,0,0,0,0,0,0,1,0,1,0,8,5,2,0,2
55574950-48504955504870,3,1544.0,9,514.67,3.0,0,2,3,0,0,0,1,0,0,0,8,9,0,4,4,3,4
55574950-48505049525375,1,7999.0,1,7999.0,1.0,0,0,0,0,1,0,0,0,0,0,7,2,4,7,7,6,7
55574950-48505257495176,1,847.0,14,847.0,14.0,0,2,5,0,0,0,0,0,0,0,8,9,0,0,8,4,9
55574950-48505448485176,1,1003.0,3,1003.0,3.0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,1,6,1
55574950-48505653574972,1,632.0,1,632.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,1,7,7,6,7
55574950-48505752525176,1,1600.0,1,1600.0,1.0,0,0,0,0,0,0,1,0,0,0,5,8,1,1,3,8,5
55574950-48505752574878,1,3325.0,1,3325.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,4,7,7,6,7
55574950-48514953495475,1,870.0,5,870.0,5.0,0,5,0,0,0,0,0,0,0,0,3,3,0,1,1,6,1
55574950-48514954535577,2,2029.0,3,1014.5,1.5,0,0,0,0,1,0,0,0,0,1,2,8,1,5,5,0,10
55574950-48515051514870,1,3315.0,3,3315.0,3.0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,1,6,1
55574950-48515151575275,2,6210.0,2,3105.0,1.0,0,0,0,0,0,1,0,0,1,0,2,8,1,2,2,9,2
55574950-48515253515078,1,4628.0,4,4628.0,4.0,0,0,0,0,0,2,0,0,2,0,2,1,2,6,6,1,6
55574950-48515357575370,1,1181.0,4,1181.0,4.0,0,1,0,0,0,0,0,0,1,1,1,0,8,3,3,5,3
55574950-48515748575570,2,5855.0,5,2927.5,2.5,0,0,0,0,0,0,2,0,0,0,5,6,3,5,5,0,10
55574950-48524852485179,1,2657.0,1,2657.0,1.0,0,0,0,0,0,0,0,0,0,1,2,8,1,6,6,8,6
55574950-48525249505177,2,2104.0,5,1052.0,2.5,0,2,0,1,0,0,2,0,0,0,5,6,3,5,5,0,10
55574950-48525448564878,1,1662.0,5,1662.0,5.0,0,0,0,2,0,0,1,0,0,2,4,5,5,5,5,8,9
55574950-48525456515270,1,1120.0,2,1120.0,2.0,0,0,0,0,0,0,0,0,2,0,2,1,2,6,6,1,6
55574950-48525657534873,1,3599.0,1,3599.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574950-48525753545276,1,5593.0,2,5593.0,2.0,0,0,2,0,0,0,0,0,0,0,8,8,4,1,1,4,1
55574950-48525756495274,2,12539.0,2,6269.5,1.0,0,1,0,0,0,0,0,0,0,1,7,2,4,5,5,0,10
55574950-48535156524876,1,166.0,1,166.0,1.0,0,0,0,0,0,0,1,0,0,0,5,8,1,1,3,8,5
55574950-48535348485375,1,1283.0,2,1283.0,2.0,0,1,0,0,0,0,1,0,0,0,1,0,8,1,3,4,3
55574950-48535355505578,1,9970.0,1,9970.0,1.0,0,0,0,0,1,0,0,0,0,0,7,2,4,7,7,6,7
55574950-48544853485678,1,5892.0,3,5892.0,3.0,0,0,0,0,3,0,0,0,0,0,7,2,4,3,3,6,3
55574950-48544853535476,2,2916.0,5,1458.0,2.5,0,0,0,0,0,0,1,0,4,0,0,1,2,5,2,0,2
55574950-48544855555477,3,6814.0,3,2271.33,1.0,0,1,0,0,0,0,2,0,0,0,5,6,3,5,2,9,2
55574950-48544952524870,1,6650.0,2,6650.0,2.0,0,0,0,0,2,0,0,0,0,0,7,2,4,3,3,6,3
55574950-48545657565377,1,2492.0,4,2492.0,4.0,0,0,0,0,0,0,4,0,0,0,5,6,3,1,3,8,5
55574950-48545750555771,1,18625.0,1,18625.0,1.0,0,0,0,0,1,0,0,0,0,0,7,2,7,7,7,6,7
55574950-48545753545272,2,743.0,2,371.5,1.0,0,2,0,0,0,0,0,0,0,0,1,0,8,5,2,0,2
55574950-48545755544874,2,3478.0,3,1739.0,1.5,0,0,0,1,0,0,2,0,0,0,5,6,3,5,5,0,10
55574950-48555548485572,1,5468.0,1,5468.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574950-48555556485278,1,9499.0,1,9499.0,1.0,0,0,0,0,1,0,0,0,0,0,7,2,4,7,7,6,7
55574950-48555557574970,1,629.0,1,629.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574950-48555649504878,1,3592.0,9,3592.0,9.0,0,3,0,0,0,0,0,0,6,0,0,4,10,3,3,4,3
55574950-48555748514878,1,1266.0,4,1266.0,4.0,0,0,0,1,0,0,1,0,0,0,5,8,1,5,5,8,5
55574950-48565051575071,1,5480.0,2,5480.0,2.0,0,0,0,0,2,0,0,0,0,0,2,8,4,3,3,6,3
55574950-48565548535675,1,295.0,2,295.0,2.0,0,0,0,1,0,0,1,0,0,0,5,8,1,5,5,8,5
55574950-48565657535773,2,6681.0,4,3340.5,2.0,0,0,0,0,0,0,2,0,1,1,5,6,3,5,5,0,10
55574950-48575654535178,1,3299.0,1,3299.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574950-49505252555472,1,7600.0,1,7600.0,1.0,0,0,0,0,1,0,0,0,0,0,7,2,4,7,7,6,7
55574950-49505349535179,1,99.0,1,99.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574950-49515455555171,1,1145.0,8,1145.0,8.0,0,4,0,0,0,0,0,0,0,3,3,3,0,3,3,5,3
55574950-49565456555671,3,7339.0,3,2446.33,1.0,0,1,0,0,1,0,0,0,1,0,2,0,4,5,2,9,2
55574950-50484848524873,1,2471.0,4,2471.0,4.0,0,0,3,0,0,0,1,0,0,0,8,9,1,1,4,4,9
55574950-50484849554977,1,2130.0,1,2130.0,1.0,0,0,0,0,0,0,1,0,0,0,5,8,1,1,3,8,5
55574950-50484852545073,1,2995.0,1,2995.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574950-50484951555078,1,3657.0,3,3657.0,3.0,0,1,0,0,0,0,1,0,0,0,5,0,8,1,3,4,3
55574950-50484956484870,1,1900.0,20,1900.0,20.0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,5,9
55574950-50485048554970,1,1095.0,1,1095.0,1.0,0,0,0,0,0,0,1,0,0,0,5,8,1,1,3,8,5
55574950-50485248505378,1,1178.0,1,1178.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,1,7,7,6,7
55574950-50485248535379,1,24700.0,1,24700.0,1.0,0,0,0,0,1,0,0,0,0,0,7,2,7,7,7,6,7
55574950-50485348554973,1,2050.0,1,2050.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,4,7,7,6,7
55574950-50495054515477,1,1095.0,1,1095.0,1.0,0,0,0,0,0,0,1,0,0,0,5,8,1,1,3,8,5
55574950-50495448495170,1,1863.0,2,1863.0,2.0,0,0,0,0,0,0,0,0,2,0,2,1,2,6,6,1,6
55574950-50495749565479,1,259.0,1,259.0,1.0,0,0,0,0,0,0,0,0,1,0,2,8,1,6,6,1,6
55574950-50504850565677,1,13200.0,1,13200.0,1.0,0,0,0,0,1,0,0,0,0,0,7,2,7,7,7,6,7
55574950-50504857554972,3,6710.0,3,2236.67,1.0,0,0,0,0,0,0,3,0,0,0,5,6,3,5,2,9,2
55574950-50504948495271,1,2705.0,2,2705.0,2.0,0,1,0,0,0,0,1,0,0,0,1,0,8,1,3,4,3
55574950-50504948495475,2,2093.0,8,1046.5,4.0,0,6,0,0,0,0,0,0,2,0,3,3,6,5,2,0,2
55574950-50504951484979,1,3979.0,1,3979.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574950-50505049545074,1,890.0,1,890.0,1.0,0,0,0,0,0,0,1,0,0,0,5,8,1,1,3,8,5
55574950-50505152545177,1,899.0,1,899.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574950-50505249535375,1,669.0,1,669.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574950-50505252525575,1,5749.0,1,5749.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574950-50505348485176,2,3094.0,3,1547.0,1.5,0,0,0,0,0,0,1,0,0,2,5,8,1,5,5,0,10
55574950-50505353525070,1,7599.0,1,7599.0,1.0,0,0,0,0,1,0,0,0,0,0,7,2,4,7,7,6,7
55574950-50505448515778,1,170.0,1,170.0,1.0,0,0,1,0,0,0,0,0,0,0,2,8,1,1,1,4,1
55574950-50505454485270,2,5036.0,5,2518.0,2.5,0,0,0,0,0,1,4,0,0,0,5,6,3,0,2,9,2
55574950-50505554485577,1,1405.0,1,1405.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574950-50505650555277,1,2145.0,1,2145.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574950-50514954565777,1,2419.0,1,2419.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574950-50515149545471,1,2105.0,5,2105.0,5.0,0,0,0,0,0,0,0,0,5,0,0,4,2,6,6,1,6
55574950-50515349545274,1,599.0,1,599.0,1.0,0,0,0,0,0,0,0,0,1,0,2,8,1,6,6,1,6
55574950-50515356485473,1,2433.0,2,2433.0,2.0,0,1,1,0,0,0,0,0,0,0,1,0,8,1,1,4,1
55574950-50515451555670,1,2099.0,1,2099.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574950-50515548495673,2,3843.0,3,1921.5,1.5,0,2,0,0,0,0,0,0,1,0,1,0,8,5,2,0,2
55574950-50515754545370,2,4921.0,2,2460.5,1.0,0,0,0,0,2,0,0,0,0,0,2,8,4,5,2,0,2
55574950-50524848485677,1,2674.0,1,2674.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574950-50524848494875,1,916.0,4,916.0,4.0,0,4,0,0,0,0,0,0,0,0,3,3,0,1,1,6,1
55574950-50524849495470,1,9987.0,9,9987.0,9.0,0,9,0,0,0,0,0,0,0,0,3,3,6,1,1,6,1
55574950-50524849535678,1,2099.0,1,2099.0,1.0,0,0,0,0,0,0,0,0,1,0,2,8,1,6,6,1,6
55574950-50524852525272,1,10450.0,1,10450.0,1.0,0,0,0,0,1,0,0,0,0,0,7,2,7,7,7,6,7
55574950-50524853515074,1,1488.0,2,1488.0,2.0,0,1,0,0,0,0,0,0,1,0,1,0,8,3,3,4,3
55574950-50524853575174,1,16900.0,1,16900.0,1.0,0,0,0,0,1,0,0,0,0,0,7,2,7,7,7,6,7
55574950-50524949485079,1,2800.0,1,2800.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,4,7,7,6,7
55574950-50524949525675,1,1690.0,1,1690.0,1.0,0,0,0,0,0,0,1,0,0,0,5,8,1,1,3,8,5
55574950-50524952554975,1,3265.0,4,3265.0,4.0,0,0,0,0,0,0,4,0,0,0,5,6,3,1,3,8,5
55574950-50525048535076,1,2603.0,1,2603.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574950-50525054555276,1,1399.0,1,1399.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574950-50525057515671,1,1090.0,1,1090.0,1.0,0,0,0,0,0,0,1,0,0,0,5,8,1,1,3,8,5
55574950-50525151485273,1,3580.0,2,3580.0,2.0,0,0,0,0,0,0,1,0,0,0,5,8,1,1,3,8,5
55574950-50525153525470,2,5495.0,5,2747.5,2.5,0,0,0,0,0,0,3,0,0,0,5,6,3,5,5,0,10
55574950-50525250504875,1,8404.0,2,8404.0,2.0,0,2,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574950-50525251514877,1,3812.0,1,3812.0,1.0,0,0,0,0,0,0,0,0,1,0,2,8,1,6,6,1,6
55574950-50525255515375,1,3718.0,1,3718.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574950-50525256555370,1,1479.0,1,1479.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574950-50525257574978,1,6739.0,1,6739.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,4,1,1,6,1
55574950-50525348484970,2,4117.0,3,2058.5,1.5,0,3,0,0,0,0,0,0,0,0,1,0,0,5,2,0,2
55574950-50525349485676,1,5700.0,1,5700.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,4,7,7,6,7
55574950-50525356485375,1,3829.0,1,3829.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574950-50525448545479,1,3247.0,3,3247.0,3.0,0,2,0,0,0,0,0,1,0,0,1,0,8,2,8,2,8
55574950-50525451514977,1,609.0,1,609.0,1.0,0,0,0,0,0,0,0,0,0,1,2,8,1,6,6,8,6
55574950-50525457555370,2,5024.0,4,2512.0,2.0,0,0,0,0,0,0,3,0,0,0,5,6,3,5,5,0,10
55574950-50525554495379,1,3060.0,1,3060.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574950-50525554515675,1,2070.0,3,2070.0,3.0,0,0,0,0,0,0,1,0,0,0,5,8,1,1,3,8,5
55574950-50525651525477,1,3037.0,1,3037.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,4,7,7,6,7
55574950-50525653494972,1,2999.0,1,2999.0,1.0,0,0,0,0,0,0,0,0,1,0,2,8,1,6,6,1,6
55574950-50525656505678,1,4348.0,10,4348.0,10.0,0,0,0,1,0,0,1,0,0,0,5,8,1,0,5,8,5
55574950-50525753545072,1,1359.0,1,1359.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574950-50525756494879,1,1096.0,3,1096.0,3.0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,1,6,1
55574950-50534848575474,1,434.0,1,434.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,1,7,7,6,7
55574950-50535250485779,1,3487.0,1,3487.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,4,7,7,6,7
55574950-50535252515271,1,4796.0,4,4796.0,4.0,0,0,0,0,0,0,1,0,0,0,5,8,1,1,3,8,5
55574950-50535255534972,2,9647.0,7,4823.5,3.5,0,1,0,0,1,0,0,0,5,0,0,4,2,5,2,0,2
55574950-50535257525370,1,1698.0,2,1698.0,2.0,0,0,0,0,0,0,0,0,2,0,2,1,2,6,6,1,6
55574950-50535549525474,1,3691.0,2,3691.0,2.0,0,0,0,0,0,0,0,0,0,2,2,8,1,6,6,8,6
55574950-50535656545679,2,2211.0,2,1105.5,1.0,0,0,0,0,0,0,0,0,0,2,2,8,1,5,5,0,10
55574950-50544851514971,1,3346.0,3,3346.0,3.0,0,0,0,0,0,0,1,0,2,0,2,1,2,3,3,4,3
