Телефон_new,ЧислоЗаказов,ОбщаяСуммаПокупок,ОбщееКоличествоТоваров,СреднийЧек,СрКолТоваров_вЧеке,G2_ДЕТСКОЕ ПИТАНИЕ,G2_ИГРУШКИ,"G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ",G2_КОСМЕТИКА/ГИГИЕНА,G2_КРУПНОГАБАРИТНЫЙ ТОВАР,G2_ОБУВЬ,G2_ПОДГУЗНИКИ,G2_СОПУТСТВУЮЩИЕ ТОВАРЫ,"G2_ТЕКСТИЛЬ, ТРИКОТАЖ",G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ,K9_Кластер,K10_Кластер,K11_Кластер,G8_Кластер,G9_Кластер,G10_Кластер,G11_Кластер
55574848-50534857575574,1,13299.0,1,13299.0,1.0,0,0,0,0,1,0,0,0,0,0,7,2,7,7,7,6,7
55574848-50535549485277,1,790.0,1,790.0,1.0,0,0,0,0,0,0,0,0,1,0,2,8,1,6,6,1,6
55574848-50544850525177,1,2657.0,6,2657.0,6.0,0,6,0,0,0,0,0,0,0,0,3,3,6,1,1,6,1
55574848-50544955564978,1,864.0,5,864.0,5.0,0,5,0,0,0,0,0,0,0,0,3,3,0,1,1,6,1
55574848-50554851564975,1,2051.0,5,2051.0,5.0,0,3,0,0,0,0,1,0,0,0,1,0,0,1,3,4,3
55574848-50555049495275,1,1690.0,1,1690.0,1.0,0,0,0,0,0,0,1,0,0,0,5,8,1,1,3,8,5
55574848-50565548535372,1,669.0,1,669.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574848-50565549524973,2,12157.0,4,6078.5,2.0,0,0,0,1,1,0,1,0,0,0,7,2,4,5,5,0,10
55574848-50565555495478,1,3790.0,1,3790.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574848-50575250514871,1,2610.0,2,2610.0,2.0,0,0,0,0,0,2,0,0,0,0,2,8,1,6,6,1,6
55574848-50575453515370,1,759.0,1,759.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,1,7,7,6,7
55574848-50575656564871,3,5548.0,7,1849.33,2.33,0,0,0,0,0,0,2,0,3,2,0,1,2,5,5,9,10
55574848-51484848514973,1,1460.0,2,1460.0,2.0,0,0,0,0,0,0,1,0,0,1,5,8,1,3,3,8,3
55574848-51484850545476,1,1039.0,1,1039.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574848-51484855514970,1,2944.0,4,2944.0,4.0,0,2,0,0,1,0,1,0,0,0,1,0,8,3,3,9,3
55574848-51485052525774,2,5959.0,4,2979.5,2.0,0,0,0,0,1,0,2,0,0,1,5,6,3,5,5,0,10
55574848-51485148495175,1,4084.0,1,4084.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574848-51485155515773,1,922.0,2,922.0,2.0,0,2,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574848-51485248535279,2,3498.0,2,1749.0,1.0,0,0,1,0,1,0,0,0,0,0,2,8,4,4,4,3,4
55574848-51485248554977,1,1687.0,1,1687.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,4,7,7,6,7
55574848-51485254565778,1,1198.0,2,1198.0,2.0,0,0,0,0,0,0,1,0,0,0,5,8,1,1,3,8,5
55574848-51485354515570,1,2398.0,2,2398.0,2.0,0,0,0,0,0,0,1,0,0,0,5,8,1,1,3,8,5
55574848-51485554575572,2,2701.0,6,1350.5,3.0,0,2,0,2,0,1,1,0,0,0,4,5,5,0,4,2,4
55574848-51494855555178,1,2599.0,1,2599.0,1.0,0,0,0,0,0,0,0,0,1,0,2,8,1,6,6,1,6
55574848-51504849555370,1,23940.0,1,23940.0,1.0,0,0,0,0,1,0,0,0,0,0,7,2,7,7,7,6,7
55574848-51504948565572,1,3959.0,1,3959.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,4,7,7,6,7
55574848-51505256525673,1,2406.0,1,2406.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574848-51505348535277,1,110.0,3,110.0,3.0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,1,6,1
55574848-51505456485175,3,4648.0,3,1549.33,1.0,0,0,0,0,0,0,3,0,0,0,5,6,3,5,2,9,2
55574848-51535048495672,2,2698.0,2,1349.0,1.0,0,0,0,0,0,0,0,0,2,0,2,1,2,5,2,0,2
55574848-51535351484870,1,2100.0,1,2100.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,4,7,7,6,7
55574848-51535356545676,1,1690.0,1,1690.0,1.0,0,0,0,0,0,0,1,0,0,0,5,8,1,1,3,8,5
55574848-51535651494971,1,4450.0,5,4450.0,5.0,0,0,0,0,0,0,1,0,0,0,5,8,1,3,3,8,5
55574848-51535748524876,1,4380.0,4,4380.0,4.0,0,0,0,0,0,0,1,0,0,0,5,8,1,1,3,8,5
55574848-51535753525175,1,1313.0,1,1313.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,1,7,7,6,7
55574848-51535755495472,1,1420.0,1,1420.0,1.0,0,0,0,0,0,1,0,0,0,0,2,8,1,6,6,1,6
55574848-51544855535370,1,359.0,1,359.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574848-51545055485670,1,1129.0,1,1129.0,1.0,0,0,0,0,0,0,1,0,0,0,5,8,1,1,3,8,5
55574848-51545056555672,2,4437.0,7,2218.5,3.5,1,4,1,0,0,0,1,0,0,0,3,3,0,0,0,7,0
55574848-51545548555578,1,1389.0,6,1389.0,6.0,0,0,0,0,0,0,2,0,0,2,5,6,3,3,3,8,3
55574848-51554951495370,1,1140.0,1,1140.0,1.0,0,0,0,0,0,1,0,0,0,0,2,8,1,6,6,1,6
55574848-51565552485277,1,1764.0,2,1764.0,2.0,0,0,0,1,0,0,1,0,0,0,5,8,1,5,5,8,5
55574848-51565655565375,1,4500.0,1,4500.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574848-51565657505577,1,2040.0,6,2040.0,6.0,0,0,0,0,0,0,2,0,3,1,0,1,2,3,3,9,3
55574848-51575054545170,1,8500.0,2,8500.0,2.0,0,0,0,0,2,0,0,0,0,0,7,2,4,3,3,6,3
55574848-52555156515378,1,518.0,2,518.0,2.0,0,2,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574848-52555354554875,1,2744.0,3,2744.0,3.0,0,0,0,0,0,0,0,0,1,2,2,8,1,6,6,9,6
55574848-52555755505771,1,1069.0,1,1069.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574848-52564855554973,1,539.0,1,539.0,1.0,0,0,0,0,0,0,0,0,1,0,2,8,1,6,6,1,6
55574848-52565153505370,1,1284.0,3,1284.0,3.0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,1,6,1
55574848-52565548554871,1,6031.0,1,6031.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574848-52574948495471,1,441.0,4,441.0,4.0,0,4,0,0,0,0,0,0,0,0,3,3,0,1,1,6,1
55574848-52575350505474,1,3325.0,1,3325.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,4,7,7,6,7
55574848-52575353495072,2,2486.0,11,1243.0,5.5,0,6,5,0,0,0,0,0,0,0,3,3,6,4,8,3,4
55574848-52575449565176,1,2408.0,5,2408.0,5.0,0,2,2,0,0,0,1,0,0,0,8,0,8,1,4,4,9
55574848-52575556554877,1,2415.0,3,2415.0,3.0,0,0,0,1,0,0,1,0,0,0,5,8,1,5,5,8,5
55574848-52575649564878,2,3221.0,3,1610.5,1.5,0,0,0,0,1,2,0,0,0,0,2,8,1,2,2,9,2
55574848-52575748515375,1,560.0,1,560.0,1.0,0,0,0,0,0,0,0,0,1,0,2,8,1,6,6,1,6
55574848-53494955505272,1,129.0,3,129.0,3.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,3,4,3
55574848-53504954495577,2,5429.0,3,2714.5,1.5,0,0,0,0,0,2,0,0,1,0,2,8,1,2,2,9,2
55574848-53505054495472,1,1095.0,1,1095.0,1.0,0,0,0,0,0,0,1,0,0,0,5,8,1,1,3,8,5
55574848-53505149555571,1,5098.0,4,5098.0,4.0,0,0,0,0,0,3,0,0,0,1,2,8,1,6,6,9,6
55574848-53505152535375,1,2118.5,1,2118.5,1.0,0,0,0,0,0,1,0,0,0,0,2,8,1,6,6,1,6
55574848-53505455555272,1,2070.0,1,2070.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,4,7,7,6,7
55574848-53554948485771,1,6945.0,2,6945.0,2.0,0,0,0,0,2,0,0,0,0,0,7,2,4,3,3,6,3
55574848-53554949555577,1,1425.0,1,1425.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,1,7,7,6,7
55574848-53554950504970,1,2096.0,2,2096.0,2.0,0,0,2,0,0,0,0,0,0,0,8,8,1,1,1,4,1
55574848-53554953524972,1,1126.0,2,1126.0,2.0,0,2,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574848-53554956515278,2,1156.0,3,578.0,1.5,0,0,0,0,1,0,0,0,0,2,2,8,1,5,5,0,10
55574848-53555254495471,1,3832.0,3,3832.0,3.0,0,0,0,0,0,0,3,0,0,0,5,6,3,1,3,8,5
55574848-53555450515475,1,3285.0,3,3285.0,3.0,0,0,0,0,0,0,1,0,0,0,5,8,1,1,3,8,5
55574848-53555456495070,1,780.0,1,780.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,1,7,7,6,7
55574848-53555556515171,1,3845.0,1,3845.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574848-53555749565277,2,3967.0,4,1983.5,2.0,0,0,0,0,0,0,1,0,3,0,0,1,2,5,2,0,2
55574848-53564850575571,1,2118.0,1,2118.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574848-53564954515471,1,75.0,2,75.0,2.0,0,2,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574848-53565056524870,1,657.0,2,657.0,2.0,0,2,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574848-53565153515776,1,2880.0,10,2880.0,10.0,4,0,1,0,0,0,3,0,0,0,6,7,9,0,0,5,9
55574848-53565755564875,1,3091.0,1,3091.0,1.0,0,0,0,0,0,0,0,0,0,1,2,8,1,6,6,8,6
55574848-53574957515773,1,1222.0,8,1222.0,8.0,0,6,0,0,0,0,0,0,0,0,3,3,6,1,3,4,3
55574848-53575054504870,1,1080.0,1,1080.0,1.0,0,0,0,0,0,0,0,0,1,0,2,8,1,6,6,1,6
55574848-53575255555378,4,4795.0,7,1198.75,1.75,0,1,0,0,0,0,0,0,4,2,0,1,2,5,5,9,10
55574848-53575452575479,1,999.0,1,999.0,1.0,0,0,0,0,0,1,0,0,0,0,2,8,1,6,6,1,6
55574848-54484854504975,1,3570.0,3,3570.0,3.0,0,0,0,0,0,0,2,0,0,0,5,6,3,1,3,8,5
55574848-54485049515479,1,1695.0,1,1695.0,1.0,0,0,0,0,0,0,1,0,0,0,5,8,1,1,3,8,5
55574848-54485150484973,1,434.0,1,434.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,1,7,7,6,7
55574848-54485553555370,1,2540.0,5,2540.0,5.0,0,3,0,0,0,0,2,0,0,0,1,0,0,1,3,4,3
55574848-54504849555670,1,1999.0,1,1999.0,1.0,0,0,0,0,0,0,0,0,1,0,2,8,1,6,6,1,6
55574848-54505548564974,1,1808.0,6,1808.0,6.0,0,1,0,1,0,0,1,0,3,0,0,1,2,5,5,5,9
55574848-54505653534975,1,1350.0,1,1350.0,1.0,0,0,0,0,0,1,0,0,0,0,2,8,1,6,6,1,6
55574848-54515052484971,1,2390.0,2,2390.0,2.0,0,0,0,0,0,0,1,0,0,0,5,8,1,1,3,8,5
55574848-54515056565577,1,856.0,5,856.0,5.0,0,0,5,0,0,0,0,0,0,0,8,9,1,1,1,4,1
55574848-54515150534872,1,1399.0,1,1399.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
